coordinates,tarif,accessibilite_pmr,indications_localisation,type,horaires,relais_bebe,commune,code_postal,departement,code_departement,latitude,longitude
"[48.9032645997163, 2.4581889]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Bobigny,93008,Seine-Saint-Denis,93,48.9032645997163,2.4581889
"[48.8578341997276, 2.3558096]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),24/7,pas d'info,Paris,75056,Paris,75,48.8578341997276,2.3558096
"[48.1811139998941, 2.7307452]",Gratuit,pas d'info,pas d'info,Toilettes publiques,24/7,pas d'info,Souppes-sur-Loing,77458,Seine-et-Marne,77,48.1811139998941,2.7307452
"[48.8476384997301, 2.2567827]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8476384997301,2.2567827
"[48.8346551997333, 2.4067998]",Gratuit,Non,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8346551997333,2.4067998
"[48.8444840997309, 2.3774551]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),24/7,pas d'info,Paris,75056,Paris,75,48.8444840997309,2.3774551
"[48.839906599732, 2.3277394]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.839906599732,2.3277394
"[48.68693929977, 2.0183176]",pas d'info,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Choisel,78162,Yvelines,78,48.68693929977,2.0183176
"[48.8216211997366, 2.3758928]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8216211997366,2.3758928
"[48.8225664997363, 2.458468]",Gratuit,Non,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8225664997363,2.458468
"[48.7858308997454, 2.3480755]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Villejuif,94076,Val-de-Marne,94,48.7858308997454,2.3480755
